tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Óleos de Cozinha,Dois Irmãos,Noroeste,Praça Faria Neves,s/n - Compesa - Dois irmãos,,-8.015659,-34.9431149
Óleos de Cozinha,Jardim São Paulo,Sudoeste,Rua Capetinga,s/n - Escola Trajano de Mendoca,,-8.0785098,-34.9435062
Óleos de Cozinha,Recife Antigo,Centro,Av. Rio Branco,193 - EREM Porto Digital,,-8.0627359,-34.8755563
Óleos de Cozinha,Santo Amaro,Centro,Av. Cruz Cabugá,767 - Serviço Social da Indústria - Sesi,,-8.0479,-34.8798227
Óleos de Cozinha,Totó,Sudoeste,Rua Onze de Agosto,564 - Compesa,,-8.0784466,-34.97339
Óleos de Cozinha,Vasco da gama,Noroeste,Rua Vasco da Gama,145 - SESI Vasco da Gama,,-8.0192679,-34.9237825
"eletronico, metal,isopor,papel,plastico,vidro",Imbiribeira,Sul,Rua Antônio Cardoso da Fonte,483 - Pro-Recife,Cooperativa,-8.0977593,-34.921774
"eletronico, oleo de cozinha, metal,isopor,papel,plastico,vidro",Afogados,Sudoeste,Rua Oscár Melo,COOPAGRES,Cooperativa,-8.0977611,-34.9283407
"metal,isopor,papel,plastico,vidro",Arruda,Norte,Rua Farias Neves,982 - Palha de arroz,Cooperativa,-8.0203083,-34.8764555
"metal,isopor,papel,plastico,vidro",São José,Centro,Avenida Sul,s/n - Cooperativa Verde Nossa Vida,Cooperativa,-8.0754417,-34.8909016
"metal,isopor,papel,plastico,vidro",São José,Centro,Avenida Sul,s/n - Cooperativa Esperança Viva,Cooperativa,-8.0754159,-34.8910941
"metal,isopor,papel,plastico,vidro",Torre,Oeste,Rua Eliéser Olímpio de Moura,100 A - Cooperativa Recicla Torre,Cooperativa,-8.0445617,-34.9151526
"metal,isopor,papel,plastico,vidro",Dois Unidos,Norte,Av. Chagas Ferreira,601 - Cooperativa Resgatando Vidas,Cooperativa,-8.0050971,-34.9144973
Pneu,Madalena,Oeste,Av. Abdias de Carvalho,341 - Pneus Pirelle,,-8.0614164,-34.9087182
Pneu,Espinheiro,Noroeste,Av. Norte,2261 - Bridgestone Pneus,,-8.0392157,-34.893334
Pneu,São José,Centro,Rua Lourenço de Sá,165 - Pneu Verde,,-8.0743288,-34.8980205
Lampada,Imbiribeira,Sul,Rua Francisco Correa de Moraes,100 - Carrefour RBV Boa Viagem,,-8.1241489,-34.9132995
Eletroeletrônico,Jaqueira,Noroeste,R. Dep. Pedro Pires Ferreira ,,,-8.0378431,-34.9056631
Eletroeletrônico,Graças,Noroeste,Rua Gerásio Fioravante,209,,-8.0487205,-34.9032191
Eletroeletrônico,Recife,Centro,Rua Domingos José Martins,75,,-8.0617605,-34.8738724
Eletroeletrônico,Recife,Centro,Edifício Ministro Djaci Falcão,,,-8.0584761,-34.8752464
Eletroeletrônico,Boa Viagem,Sul,Rua Ernesto de Paula Santos,1172,,-8.1240023,-34.9083706
Eletroeletrônico,Derby,Noroeste,Rua Henrique Dias,609,,-8.0591777,-34.9013927
Eletroeletrônico,Casa Forte,Noroeste,Av. Dezessete de Agosto,2187,,-8.0311251,-34.927634
Eletroeletrônico,Ilha do Leite,Centro,Av. Gov. Agamenon Magalhães,4475,,-8.0639936,-34.899067
Eletroeletrônico,Espinheiro,Noroeste,Av. Gov. Agamenon Magalhães,2978,,-8.0480403,-34.8953919
Eletroeletrônico,Graças,Noroeste,Av. Rui Barbosa,1104,,-8.042781,-34.903612
Eletroeletrônico,Várzea,Oeste,Rua Ministro Mário Andreaza,s/n,,-8.0660793,-34.9879686
Eletroeletrônico,Casa Forte,Noroeste,Rua Dr. João Santos Filho,255,,-8.0371544,-34.9170377
Eletroeletrônico,Boa Viagem,Sul,Rua Belmonte,199,,-8.1333142,-34.9094507
Eletroeletrônico,Boa Viagem,Sul,Rua José Cardoso Aires,705,,-8.1415661,-34.9122182
Eletroeletrônico,Tamarineira,Noroeste,Rua Sebastião Alves,73,,-8.0316316,-34.9079425
Eletroeletrônico,Pina,Sul,Av. República do Líbano ,251,,-8.0370626,-34.9498685
